fecha,pendiente_co2,r2_co2,pendiente_ch4,r2_ch4
2025-08-10,1.575894331848847,0.04064906374786732,1.6546755951600638,0.042266030485341825
2025-08-18,27.52986761381978,0.43734842455100015,34.80572289958012,0.46223953544495544
2025-08-19,0.9537059358039296,0.8806257848270183,0.9558987359079384,0.8808165581443692
2025-08-20,0.20610032296815955,0.005676532052169782,0.19815296132875107,0.004622333950092722
2025-08-22,2.4936251028647645,0.10814512462665589,2.6832264823274983,0.11787012835730233
2025-08-25,-0.4602241660069935,0.4110020388021031,-0.4596302116937728,0.4099008073062539
2025-09-09,-0.9109442601018801,0.0024004700328141503,-0.9050422588422768,0.0023398240596919986
2025-09-11,-9.308638799694553,0.01920701282631358,-9.588756931767605,0.02012706346741986
2025-09-13,-8.48579368786759,0.04568597506168706,-8.57265285914254,0.04638537347814659
2025-09-17,-3.51341749836856,0.013366545263842185,-3.565860603446445,0.013746956500267176
